text_threat_score,video_fake_score,audio_fake_score,domain_age_days,is_authenticated_sender,is_malicious
0.12248244575536268,0.051551641411587766,0.028112381385053793,-1,1.0,0.0
0.8607798917223434,0.0,0.011672776224309685,2,0.0,1.0
0.3620564713972072,0.8292591622073926,0.04390781997489593,11,0.0,1.0
0.1859866561478791,0.0,0.036013089697812015,2398,1.0,0.0
0.0786725122642678,0.05418498896972435,0.07387966440445315,2398,1.0,0.0
0.8776497718261999,0.0,0.0,11,0.0,1.0
0.9429556937759506,0.09914173174572885,0.0,27,0.0,1.0
0.3856562800274793,0.9243709023815831,0.2054905731850829,197,0.0,1.0
0.014370728906259018,0.13313530578403696,0.0,2398,1.0,0.0
0.8642563321252051,0.0,0.0,4,1.0,1.0
0.056963838811718265,0.14760722290328587,0.04686916854595367,2398,0.0,0.0
0.13756684033106245,0.0,0.05764852260629737,2398,1.0,0.0
0.16050135056501458,0.040778817931931464,0.11120846594515932,2398,0.0,0.0
0.967803633930823,0.0,0.007844173189934142,11,0.0,1.0
0.8993694833453937,0.0,0.005950396274364623,16,1.0,1.0
0.0,0.057579604964585654,0.08876482339333774,-1,0.0,0.0
0.9523917751420304,0.029358248643225216,0.0,25,0.0,1.0
0.7453552331818256,0.0,0.0,28,0.0,1.0
0.6875226761751227,0.8433068362575283,0.9767117470366188,87,0.0,1.0
0.07172266896964988,0.17226831182015045,0.04186314052268552,2398,1.0,0.0
0.9340282774923951,0.9355208934715177,0.8488907571485297,87,0.0,1.0
0.4974826310739368,0.6510641084608837,0.2566291634774691,76,0.0,1.0
0.5205320457224389,0.8763670830019972,0.032711942503978596,85,0.0,1.0
0.6868329908932576,0.92618095497127,0.9200771101942068,-1,0.0,1.0
0.6225984157221651,0.8696931574019374,0.8891436225293764,87,0.0,1.0
0.5422804237511861,0.8290142275373641,0.08714394280633275,169,0.0,1.0
0.4907363379936035,0.8853438671731123,0.28166096981543376,172,0.0,1.0
